titulo,ranking
Baba Is You,1308
Five Nights at Freddy's 2,1332
Across The Obelisk: Sands of Ulminin,1446
Laysara: Summit Kingdom,1064
Mr.President!,955
Ship Graveyard Simulator 2,1043
SANABI,1243
American Truck Simulator - Colorado,1172
Spirit of the Island,1147
Pizza Tower,1259
The Henry Stickmin Collection,1188
Eiyuden Chronicle: Hundred Heroes,1621
American Truck Simulator - New Mexico,1054
Scorn,1173
Dark Deception,1464
Celeste,1200
Sally Face - Episode One,1469
Melatonin,1420
War for the Overworld,985
Forager,1282
Stay Out,1336
Mortal Sin,1493
The Jackbox Party Pack 6,1386
Gladiator Guild Manager,1137
Dead Cells: Return to Castlevania,1254
CONFLICT OF NATIONS: WORLD WAR 3,1288
Magical Girl Celesphonia,1306
Duck Detective: The Secret Salami,1073
American Truck Simulator - Oregon,1462
Stoneshard,1134
The Jackbox Party Pack 9,1239
Poppy Playtime - Chapter 2,1229
Idle Slayer,1524
"PowerWash Simulator - Paquete especial de Warhammer 40,000",1160
Gas Station Simulator - Tidal Wave DLC,1321
Autopsy Simulator,1224
Maneater: Truth Quest,1256
Paint the Town Red,1154
"Buena pizza, gran pizza",1363
觅长生,1334
American Truck Simulator - Wyoming,1277
MORDHAU,1490
Vampire Survivors: Tides of the Foscari,1428
Princess Project,1127
Euro Truck Simulator 2 - Going East!,1115
ARK: Aberration - Expansion Pack,1164
Assetto Corsa - Dream Pack 2,1623
Lost in Play,1359
ARK: Scorched Earth - Expansion Pack,1170
The Escapists 2,1270
Space Engineers - Signal Pack,1280
ARK: Extinction - Expansion Pack,1187
Our Adventurer Guild,1297
POOLS,1438
Vampire Survivors Soundtrack,1413
The Jackbox Party Pack 4,1440
We Were Here Expeditions: The FriendShip,1246
Bloodstained: Ritual of the Night,1690
Seablip,1203
American Truck Simulator - Washington,1504
PowerWash Simulator - SpongeBob SquarePants Special Pack,1552
KinitoPET,1544
Police Stories,1276
City Car Driving,1074
Astrea: Six-Sided Oracles,1429
Townscaper,1307
Turnip Boy Robs a Bank,1437
One-armed robber,1611
Canvas of Kings,1344
Going Medieval,1269
American Truck Simulator - Utah,1337
Project Wingman,1946
Gravity Circuit,1455
Ori and the Will of the Wisps,1213
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,1249
Dungeons of Sundaria,1345
Assetto Corsa - Dream Pack 1,1435
Into the Radius VR,1317
Little Nightmares II,1400
Euro Truck Simulator 2 - JCB Equipment Pack,1311
SpyParty,2405
Vampire Survivors: Legacy of the Moonspell,1541
DAVIGO: VR vs. PC,1736
The Jackbox Party Pack 5,1542
Orcs Must Die! 3 - Tipping the Scales DLC,1335
Starbound,1355
BOKURA,1579
Gunfire Reborn - Artisan and Magician,1456
TRYP FPV : The Drone Racer Simulator,1549
Minami Lane,1519
Gatekeeper,1593
PC Building Simulator,2237
Mini Motorways,1466
Five Nights at Freddy's 4,1660
Mecha Knights: Nightmare,1538
American Truck Simulator - Idaho,1532
Orcs Must Die! 3 - Cold as Eyes DLC,1374
Blush Blush,1961
Union of Gnomes,1392
Blasphemous,1655
Two Point Hospital,1331
Ancient Cities,1471
Penny’s Big Breakaway,1667
Volcano Princess,1498
Orcs Must Die! 2,1383
Northgard - Cross of Vidar Expansion Pack,1595
Cuphead - The Delicious Last Course,1545
SUPERHOT,1669
Unravel Two,1323
Five Nights at Freddy's 3,2036
Spelunky 2,2119
OVR Advanced Settings,1760
Grim Dawn - Ashes of Malmouth Expansion,1412
Sally Face - Season Pass,1825
Curse of the Dead Gods,1642
SurrounDead,1646
No Time to Relax,1638
Project Unknown,1231
PowerWash Simulator - Back to the Future Special Pack,1531
Mindustry,1570
Kerbal Space Program 2,1909
NoLimits 2 Roller Coaster Simulation,2327
Wizard of Legend,2531
Grim Dawn - Forgotten Gods Expansion,1536
Hero Siege,1675
American Truck Simulator - JCB Equipment Pack,1537
My Dream Setup,1765
Shakes and Fidget,1324
Spirit Island,2019
House Party - Detective Liz Katz in a Gritty Kitty Murder Mystery Expansion Pack,1602
Neon White,1737
Cozy Caravan,1687
Kindergarten 2,1879
Move or Die,1582
Everafter Falls,1808
Mount & Blade: Warband,1468
Foundation,1571
Umineko: Golden Fantasia,1803
shapez - Puzzle DLC,1430
Tower Unite,1816
Skul: The Hero Slayer,1647
Hell Let Loose - Operation Lüttich Units,1782
Democracy 4,1853
(the) Gnorp Apologue,1718
Pixel Descent,1500
Contractors,1864
暖雪 Warm Snow,1632
Assetto Corsa - Ferrari 70th Anniversary Pack,1788
FAITH: The Unholy Trinity,1833
Starcom: Unknown Space,1859
"Northgard - Kernev, Clan of the Stoat",1605
Rain World: Downpour,1644
Manifold Garden,1499
Motorcycle Mechanic Simulator 2021,1497
Boxes: Lost Fragments,1327
Tiny Rogues,1518
Embr,1514
Escape Simulator: Magic DLC,1619
Taboo Trial,1525
Assetto Corsa - Red Pack,2108
Wildermyth - Camino de augurios,1994
What Remains of Edith Finch,1795
Dark Deception Complete,1996
The Past Within,1461
Snow Plowing Simulator,1770
VTube Studio - Remove Watermark,2091
The Binding of Isaac,1798
Fantasy Grounds Unity,1818
Stacklands: Cursed Worlds,1764
Secrets of Grindea,1915
Assetto Corsa - Dream Pack 3,2010
Internet Cafe & Supermarket Simulator 2024,1283
Job Simulator,1614
The Jackbox Party Pack 10,1417
This War of Mine,1682
Spiritfarer®: Edición Farewell,1624
Mech Engineer,1585
Lunacid,1784
Breathedge,1494
Fallen Leaf,1731
The Imperial Gatekeeper,1722
Two Point Campus,1530
ZERO Sievert,1781
Silica,2134
Project Hospital,1835
WitchSpring R,2689
VTube Studio - VNet Multiplayer Collab,1733
Warhammer: End Times - Vermintide,1686
Hotline Miami 2: Wrong Number,2429
Pacific Drive: Friendly Dumpster Customization Pack,1719
Bloons TD Battles 2,2034
Arms Trade Tycoon: Tanks,3015
Sticky Business,1886
Cavalry Girls 铁骑少女,1709
Exit the Gungeon,1878
Divinity: Original Sin - Enhanced Edition,1394
WARNO - Nemesis #1 - Air Assault,2190
Felvidek,1849
Eastward - Octopia,1704
DAVE THE DIVER Digital Extra,1804
Great Houses of Calderia,1598
Heartbound,2149
Overcooked,1866
JudgeSim,1512
Euro Truck Simulator 2 - Special Transport,1685
Papa's Freezeria Deluxe,2544
Prehistoric Kingdom,1912
港詭實錄ParanormalHK,1828
Duck Game,2042
Bloobs Adventure Idle,1848
Software Inc.,1589
The Wild Eight,1769
Assetto Corsa - Porsche Pack II,2096
FIVE NIGHTS AT FREDDY'S: HELP WANTED,1863
Necromunda: Hired Gun,1801
Patch Quest,1749
A Hat in Time,1898
Assetto Corsa - Porsche Pack I,2164
Assetto corsa - Japanese Pack,2012
Just Shapes & Beats,2333
Gold Mining Simulator,1666
Game Dev Tycoon,1751
Intravenous,1783
TerraTech,1774
Gunfire Reborn - Visitors of Spirit Realm,1934
The Walking Dead: Saints & Sinners,3559
Truck & Logistics Simulator,2303
Doki Doki Literature Club Plus!,1865
A Difficult Game About Climbing,1922
Craftopia,1496
Rhythm Doctor,2246
"Dwarves: Glory, Death and Loot",1981
Monster Prom: Second Term,2310
Century: Age of Ashes,1809
"Northgard - Hræsvelg, Clan of the Eagle",1890
Exanima,1959
CUSTOM ORDER MAID 3D2 It's a Night Magic,1588
100% Orange Juice,2217
To The Core,1966
"Warhammer 40,000: Boltgun - Forges of Corruption Expansion",1932
Hotline Miami,2210
House Flipper - Garden DLC,2397
SILENT BREATH,2191
American Arcadia,1696
Diplomacy is Not an Option,1815
Cold Waters,3339
Darkest Dungeon®: The Crimson Court,2157
撩妹模拟器：渣男的秘密,1744
Assetto Corsa - Porsche Pack III,2254
Car Mechanic Simulator 2021 - Jeep | RAM Remastered DLC,2212
The Last Faith,5632
Visage,2518
Changed,2233
ENDER LILIES: Quietus of the Knights,1900
For The King: Lost Civilization Adventure Pack,1902
Lethal League Blaze,1581
Little Witch in the Woods,2186
Heroes of Hammerwatch,1948
Ori and the Blind Forest,1565
SpeedRunners,3930
Mini Metro,1875
Chorus,1925
Hospital 666,1763
Skullgirls 2nd Encore,2560
West Hunt,2128
OneShot,2025
Doors: Paradox,1715
"Northgard - Svardilfari, Clan of the Horse",2073
American Truck Simulator - Special Transport,1952
Five Nights at Freddy's: Sister Location,2317
Shadow Tactics: Blades of the Shogun,1953
NGU IDLE,2552
Wingspan: Expansión de Oceanía,1933
Granny,2101
Them's Fightin' Herds,2059
OPUS: Echo of Starsong - Full Bloom Edition,1954
The Witness,1652
Animal Shelter,2548
House Flipper - Pets DLC,1927
Smack Studio,2769
All Quiet in the Trenches,1999
Birth,2178
Back to the Dawn,2220
Eastshade,2527
Barro F,2216
Gas Station Simulator - Airstrip DLC,2215
"Northgard - Lyngbakr, Clan of the Kraken",2040
Ctrl Alt Ego,1724
Assetto Corsa - Ready To Race Pack,2256
Katana ZERO,2410
VTOL VR: AH-94 Attack Helicopter,2224
Brawlhalla - Summer Esports 2024 Pack,2258
下一站江湖Ⅱ-DLC《江湖如梦》,1811
The Jackbox Party Starter,2074
Idling to Rule the Gods,2241
House Flipper - Farm DLC,2099
Big Pharma,1860
Trombone Champ,2137
Alba: A Wildlife Adventure,1870
FTL: Faster Than Light,2185
Barony: Legends & Pariahs,2337
Life is Strange: Before the Storm,2052
Touhou Danmaku Kagura Phantasia Lost,2239
Fork Road,2072
Battle Brothers - Blazing Deserts,2514
Skater XL - The Ultimate Skateboarding Game,2464
My Time at Sandrock - Monster Whisperer,2261
Holdfast: Nations At War,2109
东方光耀夜 ~ Lost Branch of Legend,2390
Streets of Rogue,2562
Hero Zero - Multiplayer RPG,1843
Ticket to Ride,1805
Be My Horde,2278
Beer Factory,2153
Euro Truck Simulator 2 - Heavy Cargo Pack,2000
DYSMANTLE,2243
Wobbledogs,2289
Bomber Crew,2260
"Warhammer 40,000: Inquisitor - Martyr",2844
There Is No Game: Wrong Dimension,1963
Space Engineers - Decorative Pack #3,2021
Rebel Inc: Escalation,3279
绝世好武功 The Matchless KungFu,2516
Rogue Legacy 2,1679
Cult of the Lamb: Heretic Pack,2063
SpellRogue,2304
圣女战旗 Banner of the Maid,2296
Symphony of War: The Nephilim Saga,2705
Transformice,2028
Barony: Myths & Outcasts,2204
Poker Championship,2853
Streamer Life Simulator,2230
Tribes of Midgard,1895
Ambrosia,2060
Turnip Boy Commits Tax Evasion,2592
Ship of Fools,2143
Subsistence,1872
Kena: Bridge of Spirits,2167
AdVenture Capitalist,2055
