titulo,ranking
Closers,8289
Seek Girl:Fog Ⅰ,0
Genital Jousting,7485
BLUE REFLECTION: Second Light,8321
South Park™: The Fractured But Whole™ - Bring The Crunch,0
Maid of Sker,8953
Arcade Spirits,0
虚构未来（Imaginary future）,0
Fight Angel Special Edition,7466
Fluffy Store,8653
eden*,8061
South Park™: The Fractured But Whole™ - From Dusk Till Casa Bonita,0
The Letter - Horror Visual Novel,7874
Leisure Suit Larry - Magna Cum Laude Uncut and Uncensored,0
Nope Nope Nope Nurses,0
Apewar,8761
Tenioha! feat. Mami,0
Hot And Lovely ：Suger,8905
Sakura Succubus 8,7959
消防员康纳 - Firefighter Connor,8037
The Coma 2: Vicious Sisters,0
Paper Dolls 2 纸人贰,0
TRATRITLE,0
永恒幻境 Eternal Dreamland,0
Love Esquire - RPG/Dating Sim/Visual Novel,0
Dialtown: Phone Dating Sim,5686
Find Love or Die Trying,9025
GOMA AYAKAZE,0
Tower of Ardia,7561
Sakura Succubus,8637
Changed-OST,8488
West Sweety,0
Haydee 2,0
Kurone's Feelings,8076
Finnish Army Simulator,0
Some Some Convenience Store,0
"",216
Yokai's Secret,8135
恋爱关系/Romance - Final,8500
Secret Pie Soundtrack,6781
Trap Yuri Garden,6779
他人世界末 On-looker,0
La última santa,0
Slave's Sword 2,7684
Slaycation Paradise,6683
Burrow of the Fallen Bear: A Gay Furry Visual Novel,6840
Love Delivery,0
The Ballad Singer,0
Max Gentlemen Sexy Business!,0
Muv-Luv Unlimited: The Day After - Episode 03,0
Muv-Luv Unlimited: The Day After - Episode 02,0
UnderParty,0
Like a Dragon: Ishin!,3190
Evening Starter,0
Metro Sim Hustle,8233
9-nine-:Episode 2,7404
How a Retired Strategist Saved the Country,8857
Trapped on Monster Island,8517
Succubus x Saint,0
Holy Knight Luviria,5528
LipTrip ~My Boss Is My Heat Suppressant?!~,8501
The Complex,0
Dark Hero Party,0
みんなで空気読み。2 ～令和～,0
The Technomancer,0
Miss Neko,0
Love n War: Hero by Chance II,0
Pixel Game Maker MV / アクションゲームツクールMV,4871
Caladrius Blaze,0
AKIBA'S TRIP: Undead ＆ Undressed,7588
Taimanin Asagi,7602
Five Dates,0
Wasteland 3: Cult of the Holy Detonation,8128
Lagoon Lounge 2 : The Secret Roommate,6971
Dragon Princess is Hungry,8466
Pixel Town: Akanemachi Sideshow,0
MONMUSU * FIGHT!,0
The Monstrous Horror Show,0
DOA6 Mai Shiranui + Debut Costume Set,9026
"Warhammer 40,000: Inquisitor - Prophecy",0
Leviathan ~A Survival RPG~,0
Lagoon Lounge : The Poisonous Fountain,9063
Sakura Succubus 7,0
Kuroinu Redux,0
